@id,@lon,@lat,crossing,step_count,surface,incline,highway,step,sidewalk,any
1E+15,-3.2467875,51.4817013,,,,,residential,,both,sidewalk
1E+15,-3.2478985,51.4811864,,,,,residential,,both,sidewalk
1E+15,-3.2480456,51.4817549,,,,,residential,,no,sidewalk
1E+15,-3.2480683,51.4822503,,,,,residential,,both,sidewalk
1E+15,-3.2534987,51.4823587,,,,,residential,,both,sidewalk
1E+15,-3.248755,51.4798403,,,,,residential,,left,sidewalk
1E+15,-3.2489085,51.4820929,,,,,residential,,both,sidewalk
1E+15,-3.2475832,51.482423,,,,,residential,,no,sidewalk
1E+15,-3.2496409,51.4826765,,,,,residential,,both,sidewalk
1E+15,-3.2503107,51.4822354,,,,,residential,,both,sidewalk
1E+15,-3.2499938,51.4804454,,,,,residential,,both,sidewalk
1E+15,-3.2505928,51.4828508,,,,,residential,,both,sidewalk
1E+15,-3.2433011,51.4800948,,,,,residential,,right,sidewalk
1E+15,-3.2428667,51.4806204,,,,,residential,,both,sidewalk
1E+15,-3.2440356,51.4802462,,,,,residential,,both,sidewalk
1E+15,-3.2466564,51.4773858,,,,,residential,,both,sidewalk
1E+15,-3.2449416,51.478296,,,,,residential,,left,sidewalk
1E+15,-3.2469135,51.4784055,,,,,residential,,both,sidewalk
1E+15,-3.2451204,51.4789328,,,,,residential,,both,sidewalk
1E+15,-3.2461515,51.4792826,,,,,residential,,both,sidewalk
1E+15,-3.2478023,51.4779814,,,,,residential,,both,sidewalk
1E+15,-3.2491424,51.4768668,,,,,residential,,both,sidewalk
1E+15,-3.2495479,51.4782672,,,,,residential,,right,sidewalk
1E+15,-3.2502088,51.4774806,,,,,residential,,both,sidewalk
1E+15,-3.2542455,51.4765589,,,,,residential,,both,sidewalk
1E+15,-3.2531714,51.4753191,,,,,residential,,no,sidewalk
1E+15,-3.2565203,51.4781341,,,,,residential,,both,sidewalk
1E+15,-3.2523316,51.4756557,,,,,residential,,left,sidewalk
1E+15,-3.2530393,51.4753619,,,,,residential,,both,sidewalk
1E+15,-3.2502975,51.4761262,,,,,residential,,both,sidewalk
1E+15,-3.2505811,51.4761418,,,,,residential,,both,sidewalk
1E+15,-3.2515649,51.4761346,,,,,residential,,no,sidewalk
1E+15,-3.2551162,51.4761968,,,,,residential,,both,sidewalk
1E+15,-3.2588886,51.4787887,,,,,residential,,both,sidewalk
